"""Just teach me to be the wind for a few moments,"" the boy said."
"""Learn to recognize omens, and follow them,"" the old king had said."
"""Let's fly to the stars together"", he suggested."
"""Let's get out of here"" said the new arrival."
"""Let's go and have some lunch,"" said the crystal merchant."
"""Let's prepare for the picnic!"", said Abigail."
"""Let's stop this,"" another commander said."
"""Let's,"" the alchemist answered."
"""Life attracts life,"" the alchemist answered."
"""Like everybody learns,"" he said."
"""Lots of places sell tea around here,"" the merchant said."
"""Maktub,"" the boy said, remembering the crystal merchant."
"""Maybe this is an omen,"" said the Englishman, half aloud."
"""Maybe tomorrow,"" said the boy, moving away."
"""Maybe we'd better ask someone,"" the boy suggested."
"""Memes are very hackneyed"", she wrote in her book."
"""Men dream more about coming home than about leaving,"" the boy said."
"""Much better,"" said the old man."
"""My name is Melchizedek,"" said the old man."
"""Nature knows me as the wisest being in creation,"" the sun said."
"""Never stop dreaming,"" the old king had said."
"""Never to come on a green twig;"" not to get on in the world."
"""Nickelodeon"" was an early movie machine before registered as a trademark."
"""No one can be from many places,"" the boy said."
"""No,"" he heard a voice on the wind say."
"""No,"" the alchemist answered."
"""Not to worry,"" said the alchemist."
"""Now leave us alone,"" said the boy to the young Arab."
"""Once you get into the desert, there's no going back,"" said the camel driver."
"""One moment,"" she said."
"""People from all over the world have passed through this village, son,"" said his father."
"""Prepare for detonation"", he announced and started the countdown."
"""See,"" said Sarah, ""that is my brother."""
"""Should I understand the Emerald Tablet?"" the boy asked."
"""Sit down, and let me treat you to something,"" said the boy."
"""So that those who have the responsibility for understanding can understand,"" he said."
"""So what do you want of me?"" the sun asked."
"""So what should I do now?"" the boy asked."
"""So you know about love,"" the boy said."
"""So, then try,"" he said to the Englishman."
"""So, what is Salem like?"" he asked, trying to get some sort of clue."
"""Somewhere you are holding the person I love,"" the boy said."
"""Speak to the hand that wrote all,"" said the sun."
"""Still a better love story than Twilight"", he commented on the porn movie."
"""Sue is short and pregnant"", the father-to-be stated, thinking of a name for his future daughter."
"""Surrender is not an option"", the mercenary asserted."
"""Tell me more about your dream,"" said the woman."
"""Thank you,"" said the boy."
"""That baker..."" he said to himself, without completing the thought."
"""That circus acrobat must have a well-trained vestibular system"", the spectator thought."
"""That homicide case is giving me headaches"", the police officer said."
"""That makes sense,"" the alchemist answered."
"""That's a good luck omen,"" the Englishman said, after the fat Arab had gone out."
"""That's never happened to me,"" the boy said."
"""That's not true,"" the boy said."
"""That's right,"" said the old man, able to read the boy's thoughts."
"""That's the magic of omens,"" said the boy."
"""That's the man who knows all the secrets of the world,"" she said."
"""That's the principle that governs all things,"" he said."
"""That's the way it always is,"" said the old man."
"""The alchemist is two hundred years old,"" the Englishman had told him."
"""The desert fills men's hearts with visions,"" the camel driver answered."
"""The desert takes our men from us, and they don't always return,"" she said."
"""The falcon's beak carries bits of me, myself,"" the desert said."
"""The invaders carried the name everywhere."" The beautiful girl spoke of the invaders with pride."
"""The war is going to end someday,"" the girl said."
"""The wind told me that you know about love"" the boy said to the sun."
"""There are many languages spoken by things,"" the boy said."
"""There are rumors of tribal wars,"" he told them."
"""There is no wine in this country,"" the young man said."
"""There is only one way to learn,"" the alchemist answered."
"""There's a caravan leaving today for Al-Fayoum."""
"""There's gold here,"" he said."
"""There's life here,"" the boy said to the alchemist."
"""There's no danger,"" the boy said, when they had moved on past the encampment."
"""These are the spies,"" said one of the men."
"""They are so used to me that they know my schedule,"" he muttered."
"""They didn't have the printing press in those days,"" the boy argued."
"""They were given to me as a present by a king,"" the boy said."
"""They were looking only for gold,"" his companion answered."
"""They're not for sale,"" he said."
"""They're not my sheep anymore,"" he said to himself, without nostalgia."
"""They're not worth much,"" the Englishman answered."
"""This can't be stressed enough: I am innocent!"", he cried desperately."
"""This desert was once a sea,"" he said."
"""This is a common misconception"", Sheldon said."
"""This is for you,"" he said, holding one of the parts out to the monk."
"""This is the first phase of the job,"" he said."
"""This is what was written on the Emerald Tablet,"" said the alchemist, when he had finished."
"""This is why alchemy exists,"" the boy said."
"""This was my destiny, not yours,"" the alchemist answered."
"""Those are the rules of war,"" the leader explained."
"""To show you one of life's simple lessons,"" the alchemist answered."
"""To what do I owe the pleasure of your presence,"" he said."
"""Two days ago, you said that I had never dreamed of travel,"" the merchant answered."
"""Watch out for his venom,"" the boy said."
"""We could get to the Pyramids by tomorrow,"" said the other, taking the money."
"""We don't know when the war will end, so we can't continue our journey,"" he said."

"""We'll leave tomorrow before sunrise,"" was the alchemist's only response."
"""Well then, help me do that,"" the boy said."
"""Well then, why did you let me do it?"" the boy asked."
"""Well, he thought about that,"" the old man said."
"""Well, I'd like to see their land, and see how they live,"" said his son."
"""Well, interpret the dream,"" he said."
"""Well, then, why do we need all these books?"" the boy asked."
"""Well, usually I learn more from my sheep than from books,"" he answered."
"""Well, what good would it be to you if you had t6 die?"" the alchemist answered."
"""Well, why did you say that I don't know about love?"" the sun asked the boy."
"""Well, why don't we go there right now?"" the boy asked."
"""Well, why don't you go to Mecca now?"" asked the boy."
"""We're in no hurry,"" the chief answered."
"""We're just travelers,"" the alchemist answered."
"""We're refugees from the tribal wars, and we need money,"" the other figure said."
"""We've done it!"" said the Englishman, who had also awakened early."
"""What a load of trash"", Sarah opined."
"""What are these things?"" he asked."
"""What are they doing?"" the old man asked, pointing at the people in the plaza."
"""What are you doing here?"" one of the figures demanded."
"""What do I do in Salem?"" The old man laughed."
"""What do you want here today?"" the desert asked him."
"""What is a foreigner doing here?"" asked another of the men."
"""What is an alchemist?"" he asked, finally."
"""What is it that I still need to know?"" the boy asked."
"""What is it you're looking for?"" asked the old merchant."
"""What is love?"" the desert asked."
"""What was written on the Emerald Tablet?"" the boy wanted to know."
"""What's the fifth obligation?"" the boy asked."
"""What's the world's greatest lie?"" the boy asked, completely surprised."
"""What's your name?"" he asked."
"""When were these books written?"" the boy asked."
"""Where are you bound?"" asked the young Arab."
"""Where are you from?"" the boy asked."
"""Where do you live?"" shouted the boy, as the horseman rode away."
"""Where is the treasure?"" he asked."
"""Where your treasure is, there also will be your heart,"" the alchemist had told him."
"""Who are you?"" he heard a voice ask him in Spanish."
"""Who is this stranger who speaks of omens?"" asked one of the chieftains, eyeing the boy."
"""Who is your friend?"" the chief asked."
"""Who told you about omens?"" The boy's interest was increasing by the moment."
"""Who told you that?"" asked the boy, startled."
"""Why a revolver?"" he asked."
"""Why are you carrying money?"" asked the tribesman, when he had searched the boy's bag."
"""Why did you want to see me?"" the boy asked."
"""Why do they make things so complicated?"" he asked the Englishman one night."
"""Why do you want to find that sort of person?"" the Arab asked."
"""Why would a king be talking with a shepherd?"" the boy asked, awed and embarrassed."
"""Will I learn to do that someday?"" the boy asked."
"""Will you give me your blessing?"" asked the boy."
"""You are almost at the end of your journey,"" said the alchemist."
"""You are wise, because you observe everything from a distance,"" the boy said."
"""You came so that you could learn about your dreams,"" said the old woman."
"""You can't be the wind,"" the wind said."
"""You can't go any farther,"" one of them said."
"""You can't offer me something that is already mine,"" the chief said, arrogantly."
"""You didn't have to do any cleaning,"" he said."
"""You dominated those horsemen with the way you looked at them,"" he said."
"""You gave them everything I had!"" the boy said."
"""You have a mania for simplifying everything,"" answered the Englishman, irritated."
"""You have helped me."" The man continued to prepare his tea, saying nothing."
"""You have to cross the entire Sahara desert,"" said the young man."
"""You must always know what it is that you want,"" the old king had said."
"""You must not let up, even after having come so far,"" he continued."
"""You old sorcerer,"" the boy shouted up to the sky."
"""You shouldn't be here,"" the alchemist answered."
"""You would have to have been born an Arab to understand,"" he answered."
"""Your eyes show the strength of your soul,"" answered the alchemist."
"""You're a good lad, you know?"" he told his son with stern eyes."
"""You're in luck, you two,"" the fat Arab said."
"""You're looking for witch doctors."" He spoke some verses from the Koran, and moved on."
"""You're the one who may die,"" the alchemist said."
"(Have) many acquaintances, (but) few friends"
[What] a piece of work [is man]
"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">"
<!DOCTYPE html>
</body></html>
</head><body>
<h1>Proxy Error</h1>
<h1>Service Unavailable</h1>
"<html lang=""en"">"
<html><head>
<p>The server is temporarily unable to service your
<title>502 Proxy Error</title>
<title>503 Service Unavailable</title>
???'m all about those invisible cosmic connections that transcend time and distance.
"1 centillion is a huge number, it has 303 zeros."
1 woman in a black jacket is drinking out of a bottle while others are smiling.
2 girls are jumping on a trampoline outside of their house.
2 girls in tank tops and sunglasses enjoying the beautiful day.
"2 girls playing volleyball, one striking the ball."
2 guitarists playing on stage.
2 kids being held by a mother in a crowd of people
2 kids holding hands and smiling.
"2 kids on a boat looking off, blue floor."
2 men are swimming in a pool in separate lanes as if racing.
2 men holding a sign in front of a metal fence.
2 men in white outfits with feathered wings and a woman with crutches jumping.
2 men on a ski slope surrounded by snow
"2 men, a woman and a child are taking a boat to the water."
2 older women outside sitting down behind tables of food
2 people fighting with training swords
2 people in scuba gear interacting with a dolphin
2 people riding a motorcycle through a crowd of people.
2 people walking outside in a downtown area.
2 police officers with helmets on are looking down at something and are riding on horseback.
2 violinists in front of a microphone and a guitar player in the background.
2 woman surfers carrying their boards across the beach.
2 women  one wearing a red and white striped shirt and the other in a blue shirt shopping at Target
2 young boys in peewee football game
2 young indian girls dressed in colorful dresses walking
"2 young males, awkwardly stare into a camera as they hug and pose for picture."
2028 is going to be the first year in over eight decades we must cancel the event.
27th Precinct Station House?
3 Asian tourists are looking out at the city while one of them takes a picture.
3 boys are standing on a pier in their bathing suits.
3 children of a young family in their kitchen in the afternoon.
3 men are working on a boat
3 men competing for a rebound.
3 men in the midst of a bunch of stuff  2 on separate sides of the aisle of stuff designing some type of art  one in blue pants  the other in white
3 men painting a wall of a building while standing on a scaffolding
3 men playing soccer with a yellow ball.
3 middleaged men wearing cowboy hats ride brown horses in a field lined with a wire fence.
3 people are working in a park doing various tasks using wheelbarrows and a rake.
3 People hiking along water on the beach sand.
3 people on plain boats smiling towards the camera
3 police are on skates in the city center.
3 women are sitting down posing for a picture.
3 women talking and a map is pinned on the wall
3 women wearing black dresses cross the street.
4 people are standing in front of a red brick building
4 people going out at night with one of them being really drunk.
5 adult men standing on stage after a concert.
5 athletes wearing white tops and white bottoms are doing a routine for an audience.
"5 firetrucks line the street, ready for potential problems."
6 asian males sitting together drinking pepsi and eating meat
6 women walk across a city street.
A african descent male is repairing the clothes using his sewing machine
A AfricanAmerican woman feeding a dog.
A artist painting the wall covered in bamboo.
a asian man gives an evil eye to the camera.
A Asian man is walking down the street holding two very large bags.
A baby and a young child are sitting together in a highchair.
A baby being bathed in a plastic tub.
A baby boy crying standing on a field of grass.
A baby boy in an elmo chair with lots of toys in the background.
A baby boy sucks on the sweater arm of the woman holding him
A baby clutching a stuffed animal is smiling.
A baby crawls on a wood floor near a bottle of water.
"A baby cries while surrounded by green, yellow, and orange toys."
A baby crying about getting their diaper changed.
A baby dressed in orange plays with a necklace.
A baby girl has the contents of a red pot all over her face.
A baby girl in a blue dress is standing on a rock wall near a tree.
A baby girl is looking at the camera scared.
A baby hanging in a baby jumper on a deck by a sea port.
A baby holds a toothbrush in one hand while sitting in the sink.
A baby holds a toothbrush while sitting in a sink.
A baby in a baby seat wearing a red beanie that says  love .
A baby in a bouncy seat and a standing boy surrounded by toys.
a baby in a car seat wearing overalls
A baby in a cart on a sidewalk.
A baby in a pink sweater looks up at a leafy branch.
A baby in a white and light purple outfit crying
A baby is clinging to his mother.
A baby is deeply asleep at the person 's back.
A baby is looking at a dryer.
A baby is playing in a walker
"A baby is sleeping by matches, and a drill, that are full of hazards."
A baby is sleeping next to a toy reindeer.
A baby is sleeping on a blanket
A baby is sleeping with a stuffed animal.
A baby is sleeping with his blanket on
A baby is taking a bath while holding a play dinosaur.
A baby laughs
A baby looking up at a leafy branch above her head.
A baby looks out over the edge of its playpen.
A baby plays with a shoe.
"A baby sits on an empty beach under a big, blue sky."
A baby sitting on a rug reaching for a guitar.
A baby sleeping with a green Binky in its mouth.
A baby taking a bath in a tub.
A baby washes its hands in soapy water from a sink.
A baby wearing a  my best buddy  shirt on a bed.
A baby wearing a blue jacket is sitting in sand.
A baby wearing a hat and sleeping in a blue stroller.
A baby wearing all white swinging on a swing.
A baby wearing yellow is pretending to be a doctor while inside a stroller.
A baby with blondhair crying or yelling.
A baby with green headphones on is waving at a large crowd of people.
A baby wrapped in a blanket sleeps.
A backdoor is a deliberate mechanism that is added to a cryptographic algorithm.
A backpacker and a dog on a snow covered landscape at nightfall.
A bad excuse is better then none.
a bad neighbor hood were there is vandalism on the buildings
A bad penny always comes back.
A bad workman blames his tools.
A baker dressed in white with a hairnet works with dough using a long pole.
a balck and tan dog running through the snow.
A bald Asian man is touching the molding on a window.
A bald headed man with a beard holding an electric shaver on a beach.
A bald man eating a meal
A bald man is looking out at a crowd of people.
A bald man is sitting at a red table with his hands on a laptop computer.
A bald man looking at a grayhaired man conducting
A bald man putting on a red shirt
A bald man walks amidst a group of pigeons.
A bald man with glasses and a black shirt is sitting outside looking at a menu.
"A bald man, wearing feathers on his body, has his hands in the air."
A bald musician wearing a black shirt plays his guitar on stage.
A bald photographer with dark rimmed glasses and a long bearded taking a picture.
"A bald, shirtless man rock climbing."
A balding man in a blue shirts and shorts sit on a playground toy
A balding man in a striped shirt squatting down in the floor.
A balding man reads to a young child.
A balding man wearing blue is riding a unicycle on a paved road.
A balding professor giving a lecture to students on the topic of  opportunity .
A balding whitehaired man talks on his cellphone outside while looking at a red notebook
A balding whitehaired man talks on his cellphone outside while looking at a red notebook.
"A ballerina dressed in yellow is dancing, on a stage."
a ballerina in an empty worn room standing on 1 foot with her arm and other leg in the air
A ballerina poses outside.
A ballerina strikes a pose against an outdoor wall and window.
A ballet company with a man and woman posing surrounded by several other women.
A ballet dancer in a blue leotard doing a backbend with her left hand extended.
A ballet dancer poses at a photo shoot.
A band in concert performing.
A band is performing at a rock and roll concert.
A band is performing on stage.
A band is playing a piece while a man in a white shirt conducts.
A band is playing guitars and singing on stage.
A band is playing music underneath a white canopy
A band is playing on a stage while a lady sings.
A band is playing on the sidewalk while people watch.
A band is playing the bagpipes while a man jogs by wearing all black
A band is putting on a light show and a performance in front of a crowd.
A band is standing in front of a group of people playing there guitars and singing.
A band of five men singing and playing instruments on stage before an audience.
A band of men playing instruments.
A band performing at a local bar or club.
A band performing for an audience.
A band performs music on a stage with lights.
A band performs on a stage.
A band performs on stage
A band performs on stage under a blue light
A band playing a small gig in Baltimore.
"A band playing in an outdoor theater, along the river."
A band playing in front of a crowd outside
A band playing on a colorful stage.
A band plays a concert for excited fans.
A band plays a gig to a crowd.
A band plays a rock show to a bar audience
A band plays in a bar setting
A band practicing for a gig.
A band recording in the stdio with drums.
A band wearing green and playing instruments in a parade.
A band who is performing in front of their many followers
A band with saxophones and trombones are preparing to play music
A band with three members  guitarist  bassist and drummer  is playing a concert outside
A band with two women and one man is on stage playing music.
"A band, with spotlight on the guitarist, plays on stage to a dark crowd."
A bar with team flags on the walls has many customers mulling around and chatting.
A barefoot boy and a woman are playing with balloons while a man watches.
A barefoot boy is crying.
A barefoot girl in a pink sweater is sitting on a trampoline.
A barefoot jogger in a park.
A barefoot redheaded girl jumping over a rail
A barefoot redheaded girl jumping over a rail.
A barefoot toddler is playing soccer.
A barefoot woman wearing a red sweater is carrying an object through water
A barefooted girl is swinging high on a swing on a spring afternoon.
A bartender is pour a draft beer.
A bartender making a tray of drinks in champagne flutes.
A baseball catcher catches a ball while the umpire watches.
"A baseball pitcher in a blue, white and gray uniform midpitch."
A baseball pitcher prepares to pitch the ball to the batter.
"A baseball pitcher wearing a blue, red and white uniform is about to throw a baseball."
A baseball player catches the ball while the batter reaches the base.
A baseball player catching a ball as it comes to him
A baseball player diving for the base during a game
A baseball player giving the other team an out.
a baseball player in a red shirt and white pants is swinging the bat towards a yellow ball whilst three people look on
A baseball player in a uniform has just thrown a ball with his right hand
a baseball player in midswing.
A baseball player in white is preparing to pitch the ball.
A baseball player is about to throw a baseball.
A baseball player is holding a bat.
"A baseball player is midswing, while the catcher behind him hold out his glove."
A baseball player is putting all his might in to throwing a ball.
A baseball player is running through the baseball field.
A baseball player is running to base.
A baseball player is sliding across home plate in order to score a run for his team.
A baseball player picking up a baseball during the game.
A baseball player sitting on a pipe with a stain on his knee.
A baseball player sliding toward second base.
a baseball player swings his bat to hit a baseball.
A baseball player swings to hit the ball as an umpire crouches behind him.
A baseball player wearing a blue shirt is running toward a base.
A baseball player wearing a gray uniform attempts to catch a fly ball against the fence.
A baseball team pitcher throwing a ball to the batter.
A basket player is scoring.
A basketball player falls to the court floor.
A basketball player in blue is attempting to block a player in white during a game.
A basketball player is attempting a layup while another basketball player is attempting to block the shot.
A basketball player is jumping and holding a basketball over the net.
A basketball player is shooting a basketball.
A basketball player is taking a foul shot as his teammates and the opposing team watch.
A basketball player prepares to make a throw while his opponent defends.
a basketball player wearing a red and white jersey while running down the court.
A basketball player wearing blue and red is shooting a basket while onlookers sit outside the court.
A bass player in a red shirt is playing while smoking a cigarette.
A basset hound is leashed to the rearview mirror of a yellow and white vehicle
A bat is in the cave.
A batter swinging at a pitch with a catcher preparing to receive the pitch.
A beach vacation photo that shows from the restaurant down to the ocean.
A beach with light blue water and homes built into the mountains in the background is bustling with people in the water and standing in the sand at the water s edge
A bearded fisherman mends his net.
A bearded hairy musician happily plays his guitar for a young black girl.
A bearded man being beat by a police officer.
A bearded man in a blue shirt ls laughing while a suited mustached man holds up a glass
A bearded man in a green shirt is taking a picture with his camera
A bearded man in a longsleeve shirt is singing with a microphone.
A bearded man in blue jeans on a skateboard is jumping over a shopping cart.
A bearded man in green coat stares into the camera lens.
A bearded man is sitting on a bench wearing a fur lined jacket and hat.
A bearded man is standing by a shopping cart holding up a cardboard sign.
A bearded man jumps his skateboard over a shopping cart.
A bearded man plays guitar leaning against a white wall.
A bearded man sits with a cocktail
A bearded man wearing glasses and a blue shirt plays guitar.
A bearded man with a hat drives down the road.
A bearded older man holds something toward the camera.
A beautiful ballerina dancing beautifully in the air with a colorful tutu.
A beautiful seascape invites these young men to jog and play.
A beautiful view of the mountains on a snowy day.
A beautiful waterfall with two people walking on the road beside it.
a beige dog running on the grass with a tennis ball in his mouth
A beige dog runs through the tall grass with a tree in the background.
A bellhop is pushing a cart.
A belly dancing woman who is happily moving.
A bespectacled Asian man is ducking his head in order to receive a medal around his neck.
"A bicycle race, with bicycle riders dressed in multicolor uniforms, with a man recording it."
A bicycle repairman shows two men what was wrong with their bike.
A bicycler is riding a bike at a racing event.
A bicyclist becomes airborne among dirt hills at night.
A bicyclist does tricks on a lime green bike.
A bicyclist doing a jump.
A bicyclist goes over a dirt ramp and catches some air
A bicyclist in a bike lane
A bicyclist in orange shorts and green backpack passing through a busy street.
A bicyclist is in midair on a cloudy day.
A bicyclist is jumping a horizontal wooden structure with countryside in front of him.
A bicyclist is riding down a leaf strewn trail.
A bicyclist looks behind him to check on a girl riding a bike behind him.
A bicyclist passes with a giant sign that reads  lovely.
A bicyclist riding down the road wearing helmet and black jacket.
A bicyclist sitting down with his bike which has one wheel removed from it.
A bicyclist skids along the edge of a quarter circle.
A bicyclist wearing a black and yellow racing suit rides along a street near a granite building.
A big brother helps a little sister blow bubbles.
A big crowd is watching some kind of a game.
A big dog drinks as a little dog gets down off a deck.
A big group of people are enjoying a public event.
A big man plays guitar on stage.
A big tan wet dog in shallow water.
A big wave is crashing on a beach with a woman walking past.
A big wet stain was on the round carpet.
"A big, black dog is walking along the water 's edge."
A bike in a field and two kites
A bike racer hold up a hand while riding a motorcycle.
A bike racer in a red jersey is pursued by another rider wearing blue.
A bike racer in red speeds ahead of a black car.
A bike rider flipping over a black ramp.
A bike rider is airborne off a jump while another kid on a bike looks on.
A bike rider on a ramp.
A bike rider wearing a red shirt and black shorts is attended to by city workers.
A bike rider with a suit covered in advertisement prepares for a race
A biker does a trick on a ramp.
A biker in red rides in the countryside.
A biker is fixing his tire on a sunny day
A biker is in midair doing a stunt.
a biker jumps over a pile of dirt.
A biker with a baby in a small compartment with bikers in the background.
